Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Total_Score,Risk_Profile
(c) 46-59,"(d) More than $200,000","(a) Less than $50,000",(c) General Wealth Growth,(d) More than 20 years,(b) Somewhat Inexperienced,(a) Very stable,(c) Not important,(b) Uncertainty,(c) Hold and do nothing,"(a) $1,000 in cash",(b) $800 gain / $200 loss,33,Moderate
(a) Under 35,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(c) 11-20 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(c) Not important,(a) Loss,(c) Hold and do nothing,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,25,Moderate
(a) Under 35,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(c) General Wealth Growth,(c) 11-20 years,(d) Very Experienced,(a) Very stable,(b) Moderately important,(c) Opportunity,(d) Buy more,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",42,Aggressive
(e) Over 70,"(b) $50,000 - $99,999","(c) $250,000 - $999,999",(d) Generating Income,(b) 4-10 years,(c) Experienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(c) Hold and do nothing,"(a) $1,000 in cash",(b) $800 gain / $200 loss,21,Conservative
(b) 36-45,"(b) $50,000 - $99,999","(a) Less than $50,000",(c) General Wealth Growth,(b) 4-10 years,(c) Experienced,(c) Uncertain / High risk,(b) Moderately important,(b) Uncertainty,(c) Hold and do nothing,"(a) $1,000 in cash",(b) $800 gain / $200 loss,28,Moderate
(c) 46-59,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(d) Generating Income,(c) 11-20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(c) Opportunity,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",36,Aggressive
(c) 46-59,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(c) General Wealth Growth,(d) More than 20 years,(c) Experienced,(a) Very stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",42,Aggressive
(c) 46-59,"(b) $50,000 - $99,999","(a) Less than $50,000",(a) Retirement,(c) 11-20 years,(b) Somewhat Inexperienced,(a) Very stable,(c) Not important,(c) Opportunity,(c) Hold and do nothing,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,30,Moderate
(c) 46-59,"(b) $50,000 - $99,999","(b) $50,000 - $249,999",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(d) Thrill,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",40,Aggressive
(e) Over 70,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(a) Retirement,(a) Less than 4 years,(d) Very Experienced,(b) Moderately stable,(a) Very important,(b) Uncertainty,(c) Hold and do nothing,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,26,Moderate
